lat,lon,tree_cover_2000_pct,elevation_m,slope_deg,dist_to_road_km,dist_to_deforestation_frontier_km,protected_area,population_density_per_km2,annual_loss_rate_pct,high_risk
-13.5,-61.500000000000114,78.5,253.6,4.9,26.73,34.02,0,5.3,1.9,0
-13.5,-61.45000000000012,82.6,193.9,1.5,9.42,7.2,0,5.5,1.69,0
-13.5,-61.40000000000012,74.7,235.4,0.7,18.72,6.04,0,27.6,3.91,0
-13.5,-61.35000000000012,34.2,237.2,8.2,2.25,14.35,0,4.2,4.87,0
-13.5,-61.300000000000125,52.6,183.8,1.4,12.16,1.01,0,16.9,1.05,0
-13.5,-61.25000000000013,62.7,314.1,12.9,5.79,73.76,0,7.2,1.84,0
-13.5,-61.20000000000013,91.8,311.3,1.6,4.38,17.25,0,20.7,4.28,0
-13.5,-61.150000000000134,88.6,212.5,1.5,22.2,1.1,0,10.0,4.64,0
-13.5,-61.100000000000136,50.2,152.0,4.2,4.9,7.2,0,24.6,2.42,0
-13.5,-61.05000000000014,68.5,304.5,3.5,10.99,26.64,1,6.4,1.75,0
-13.5,-61.00000000000014,96.6,50.0,0.2,23.45,21.92,0,9.3,0.54,1
-13.5,-60.950000000000145,79.9,235.5,1.7,7.64,18.26,1,27.1,0.85,0
-13.5,-60.90000000000015,80.3,259.2,6.2,3.75,82.8,0,1.6,3.49,0
-13.5,-60.85000000000015,81.9,133.7,0.5,1.74,1.08,0,8.3,3.74,0
-13.5,-60.80000000000015,80.1,277.9,3.0,30.38,34.6,0,11.7,0.81,0
-13.5,-60.750000000000156,68.8,197.9,2.4,22.45,1.23,0,12.1,0.35,0
-13.5,-60.70000000000016,39.4,156.3,0.3,13.66,6.46,0,7.2,1.09,0
-13.5,-60.65000000000016,88.4,277.1,4.3,1.63,13.97,0,15.2,6.12,1
-13.5,-60.600000000000165,85.8,113.1,4.6,3.16,15.76,0,1.0,2.55,0
-13.5,-60.55000000000017,68.7,269.5,1.1,1.64,24.04,1,17.5,2.23,0
-13.5,-60.50000000000017,93.6,50.0,2.9,0.79,11.51,0,13.0,3.71,1
-13.5,-60.45000000000017,22.6,222.9,0.0,27.1,2.34,1,10.2,0.0,0
-13.5,-60.400000000000176,23.0,203.5,3.5,3.71,23.1,0,12.4,2.08,0
-13.5,-60.35000000000018,43.7,156.8,3.4,1.8,12.36,0,8.5,3.72,0
-13.5,-60.30000000000018,64.4,231.2,0.3,29.39,25.51,1,1.1,3.27,0
-13.5,-60.250000000000185,76.1,193.6,2.3,5.24,25.36,0,4.6,2.25,0
-13.5,-60.20000000000019,68.8,284.4,0.8,38.92,8.3,0,19.7,1.03,0
-13.5,-60.15000000000019,74.3,244.8,5.0,19.92,24.97,0,3.2,0.98,0
-13.5,-60.10000000000019,68.0,236.2,2.8,5.6,12.19,0,7.9,1.82,0
-13.5,-60.050000000000196,91.2,223.3,3.3,0.74,54.03,1,0.2,1.97,0
-13.45,-63.5,58.5,162.2,0.2,3.69,18.86,0,14.4,4.67,0
-13.45,-63.45,64.6,175.9,0.9,6.5,9.39,0,5.8,2.78,0
-13.45,-63.400000000000006,56.7,219.9,5.9,4.43,5.14,0,15.2,2.18,1
-13.45,-63.35000000000001,74.9,186.1,1.3,1.64,1.56,0,11.3,3.65,1
-13.45,-63.30000000000001,86.2,288.9,9.3,5.33,5.22,0,15.2,2.83,0
-13.45,-63.250000000000014,95.2,207.5,4.0,4.73,3.9,0,6.8,3.04,1
-13.45,-63.20000000000002,75.7,230.1,5.7,5.26,13.51,0,8.3,4.65,0
-13.45,-63.15000000000002,78.1,87.8,2.5,14.75,0.76,0,1.6,1.02,0
-13.45,-63.10000000000002,62.0,275.5,2.3,41.81,0.12,1,63.9,2.93,0
-13.45,-63.050000000000026,76.2,153.5,0.1,8.43,4.52,0,23.4,3.97,1
-13.45,-63.00000000000003,59.3,116.6,0.1,1.28,22.47,1,7.6,1.47,0
-13.45,-62.95000000000003,78.9,331.7,9.2,24.3,41.02,0,8.3,1.59,0
-13.45,-62.900000000000034,69.8,255.8,1.4,14.44,6.23,0,3.4,1.81,0
-13.45,-62.85000000000004,80.7,278.2,2.2,2.86,5.59,1,21.4,2.41,0
-13.45,-62.80000000000004,90.2,236.4,3.5,15.93,19.18,0,3.0,2.92,0
-13.45,-62.75000000000004,54.3,192.5,0.1,18.25,14.3,0,5.2,1.52,0
-13.45,-62.700000000000045,74.5,177.6,4.0,2.26,54.63,0,8.5,4.88,0
-13.45,-62.65000000000005,68.8,262.3,0.7,6.09,18.55,0,9.8,8.07,0
-13.45,-62.60000000000005,74.1,290.6,2.4,10.38,13.45,0,0.1,2.12,0
-13.45,-62.550000000000054,77.0,194.5,2.4,6.97,22.19,0,13.6,4.33,0
-13.45,-62.50000000000006,78.1,365.8,0.3,1.85,7.91,0,2.2,3.73,0
-13.45,-62.45000000000006,89.7,184.2,1.1,32.06,30.06,0,14.1,5.18,0
-13.45,-62.40000000000006,91.4,88.5,2.6,2.63,37.56,0,12.9,2.37,0
-13.45,-62.350000000000065,62.5,62.3,3.2,1.29,1.1,0,15.8,3.52,0
-13.45,-62.30000000000007,49.6,65.0,2.4,12.39,21.71,1,9.2,2.93,0
-13.45,-62.25000000000007,57.4,166.9,1.4,52.37,33.58,1,3.8,0.0,0
-13.45,-62.200000000000074,94.0,181.4,9.8,20.53,2.71,0,16.5,3.32,0
-13.45,-62.15000000000008,56.4,254.6,0.2,8.76,3.61,0,37.7,3.83,0
-13.45,-62.10000000000008,67.2,197.7,1.5,8.71,22.24,1,1.7,2.68,0
-13.45,-62.05000000000008,71.5,267.5,1.4,14.7,23.99,0,10.2,2.48,0
-13.45,-62.000000000000085,63.1,203.6,0.7,29.9,17.84,1,1.7,0.0,0
-13.45,-61.95000000000009,74.2,201.1,4.1,48.69,48.3,1,10.1,0.0,0
-13.45,-61.90000000000009,93.2,153.8,4.5,1.95,0.44,0,8.5,4.78,1
-13.45,-61.850000000000094,30.1,313.8,5.8,2.65,11.65,1,1.7,1.29,0
-13.45,-61.8000000000001,55.9,77.5,2.0,8.99,7.7,0,10.6,3.55,0
-13.45,-61.7500000000001,67.4,224.1,0.4,12.67,9.87,0,0.9,6.19,0
-13.45,-61.7000000000001,82.8,185.5,8.4,21.97,21.65,1,1.0,0.0,0
-13.45,-61.650000000000105,50.5,262.5,3.0,10.34,10.91,1,14.3,0.94,0
-13.45,-61.60000000000011,77.7,198.3,1.6,16.08,32.64,0,1.3,0.96,0
-13.45,-61.55000000000011,58.0,200.7,5.4,30.47,20.65,1,6.9,0.0,0
-13.45,-61.500000000000114,79.0,178.7,0.2,27.24,4.15,0,5.3,1.12,1
-13.45,-61.45000000000012,66.2,311.5,9.1,22.84,2.63,1,20.0,2.5,0
-13.45,-61.40000000000012,53.4,200.2,1.9,1.32,5.46,1,3.0,3.99,0
-13.45,-61.35000000000012,83.3,357.6,0.5,29.85,3.64,1,7.5,0.0,0
-13.45,-61.300000000000125,85.4,221.8,4.6,8.96,10.39,0,0.1,2.77,1
-13.45,-61.25000000000013,77.6,201.7,7.2,1.35,7.08,0,1.0,2.64,0
-13.45,-61.20000000000013,94.0,188.4,0.5,2.4,9.28,1,4.3,2.22,0
-13.45,-61.150000000000134,66.8,245.1,3.7,5.85,17.38,0,9.1,3.8,0
-13.45,-61.100000000000136,77.6,152.9,10.0,6.86,2.26,1,37.1,1.8,0
-13.45,-61.05000000000014,61.1,211.7,9.2,14.09,3.31,0,8.9,0.87,0
-13.45,-61.00000000000014,81.5,200.7,0.8,77.61,5.19,0,8.8,0.55,0
-13.45,-60.950000000000145,74.3,226.0,1.1,3.86,46.35,0,0.8,2.09,0
-13.45,-60.90000000000015,84.3,228.0,0.5,19.73,8.6,0,12.9,3.69,0
-13.45,-60.85000000000015,54.2,232.2,0.9,21.36,11.16,0,17.9,0.47,0
-13.45,-60.80000000000015,84.9,207.6,1.6,34.71,62.48,0,31.0,1.22,0
-13.45,-60.750000000000156,94.3,325.5,0.5,7.49,7.65,1,3.8,0.19,0
-13.45,-60.70000000000016,27.4,233.8,0.1,15.38,13.7,0,6.3,3.0,0
-13.45,-60.65000000000016,31.4,408.5,1.2,3.91,42.9,0,8.9,2.9,0
-13.45,-60.600000000000165,90.9,204.0,6.2,5.72,40.36,0,3.0,2.19,0
-13.45,-60.55000000000017,62.7,276.7,0.8,4.27,55.86,0,0.5,2.22,0
-13.45,-60.50000000000017,66.8,141.9,3.3,20.09,6.84,0,1.8,1.98,0
-13.45,-60.45000000000017,41.4,312.1,2.4,35.19,7.81,1,4.6,0.0,0
-13.45,-60.400000000000176,65.9,143.7,4.7,12.55,3.8,0,5.8,1.57,0
-13.45,-60.35000000000018,80.9,236.5,0.5,2.75,10.03,0,0.3,3.03,0
-13.45,-60.30000000000018,91.4,178.8,0.1,23.06,17.22,0,18.8,0.67,0
-13.45,-60.250000000000185,97.5,236.2,5.1,22.11,34.09,0,1.3,6.72,0
-13.45,-60.20000000000019,48.5,181.2,4.0,1.54,61.38,0,1.7,3.23,0
-13.45,-60.15000000000019,68.1,136.9,1.4,41.7,18.47,0,8.6,0.82,0
-13.45,-60.10000000000019,74.2,178.3,5.6,8.94,4.33,0,6.4,2.39,0
-13.45,-60.050000000000196,77.4,323.3,0.6,0.5,45.95,1,4.4,3.52,0
-13.399999999999999,-63.5,86.1,237.4,0.5,22.45,16.23,0,0.5,3.76,0
-13.399999999999999,-63.45,69.8,96.9,1.1,3.11,0.66,0,4.9,3.63,0
-13.399999999999999,-63.400000000000006,60.5,287.6,1.2,42.45,32.56,0,13.1,1.91,0
-13.399999999999999,-63.35000000000001,63.6,128.7,1.1,2.86,20.94,1,0.3,2.72,1
-13.399999999999999,-63.30000000000001,51.9,259.5,2.6,13.25,29.3,1,0.2,1.95,0
-13.399999999999999,-63.250000000000014,55.7,244.3,2.7,23.46,0.69,0,9.8,1.74,0
-13.399999999999999,-63.20000000000002,75.9,249.3,0.3,1.15,15.22,0,3.8,3.65,0
-13.399999999999999,-63.15000000000002,91.9,348.3,1.0,41.48,21.53,0,32.0,3.14,0
-13.399999999999999,-63.10000000000002,90.7,133.7,4.7,27.0,11.49,0,0.0,2.08,0
-13.399999999999999,-63.050000000000026,89.3,248.9,0.9,0.95,0.24,0,8.4,3.02,0
-13.399999999999999,-63.00000000000003,69.0,300.8,8.4,43.98,30.0,0,22.7,0.33,1
-13.399999999999999,-62.95000000000003,68.2,148.5,1.1,4.93,7.46,0,1.6,2.76,0
-13.399999999999999,-62.900000000000034,89.2,140.3,2.2,27.6,33.95,1,3.9,0.0,0
-13.399999999999999,-62.85000000000004,95.6,177.0,0.2,40.15,34.29,0,14.4,2.14,1
-13.399999999999999,-62.80000000000004,86.8,226.0,11.9,13.71,7.21,0,23.0,3.08,1
-13.399999999999999,-62.75000000000004,53.1,87.2,5.9,0.91,12.24,0,11.4,3.04,0
-13.399999999999999,-62.700000000000045,74.9,244.1,0.5,33.32,49.4,0,9.9,0.37,0
-13.399999999999999,-62.65000000000005,69.2,87.3,0.5,61.58,21.7,0,13.3,2.32,0
-13.399999999999999,-62.60000000000005,85.5,303.5,5.8,8.2,20.41,1,10.2,0.76,0
-13.399999999999999,-62.550000000000054,88.4,241.1,7.3,7.06,3.17,1,1.5,1.51,0
-13.399999999999999,-62.50000000000006,73.8,353.1,2.6,2.99,14.15,0,6.1,5.72,0
-13.399999999999999,-62.45000000000006,94.0,253.5,7.6,23.8,37.27,0,16.5,1.03,0
-13.399999999999999,-62.40000000000006,89.4,175.6,0.9,14.04,3.5,0,9.1,4.17,0
-13.399999999999999,-62.350000000000065,92.4,136.1,1.2,2.0,5.36,0,4.0,5.65,0
-13.399999999999999,-62.30000000000007,48.4,219.1,0.7,4.3,13.6,1,7.7,0.61,0
-13.399999999999999,-62.25000000000007,78.5,197.6,2.4,5.44,11.59,1,22.1,1.18,0
-13.399999999999999,-62.200000000000074,44.5,294.9,1.5,0.1,1.39,1,2.3,2.24,0
-13.399999999999999,-62.15000000000008,71.5,125.7,1.5,11.77,67.44,0,8.4,7.14,0
-13.399999999999999,-62.10000000000008,93.2,361.7,8.2,1.56,4.89,1,34.2,1.59,0
-13.399999999999999,-62.05000000000008,55.6,302.0,1.8,15.97,19.86,1,11.6,1.65,0
-13.399999999999999,-62.000000000000085,52.3,183.7,2.0,6.15,18.03,0,6.2,6.56,0
-13.399999999999999,-61.95000000000009,84.3,343.8,1.7,3.98,18.56,0,4.1,3.98,0
-13.399999999999999,-61.90000000000009,63.3,137.3,0.9,9.77,60.73,1,0.2,0.66,0
-13.399999999999999,-61.850000000000094,56.6,216.4,5.4,0.89,84.68,0,11.4,3.66,0
-13.399999999999999,-61.8000000000001,64.0,97.9,1.5,3.7,26.05,0,15.8,2.46,0
-13.399999999999999,-61.7500000000001,89.7,347.7,0.4,2.18,4.41,0,12.6,3.08,0
-13.399999999999999,-61.7000000000001,62.4,68.2,3.3,31.23,32.74,0,1.3,0.14,1
-13.399999999999999,-61.650000000000105,91.9,84.8,9.7,28.32,4.89,1,5.2,0.0,0
-13.399999999999999,-61.60000000000011,90.8,149.2,3.7,6.4,14.63,1,8.8,0.47,0
-13.399999999999999,-61.55000000000011,71.8,305.8,1.9,1.02,8.38,1,11.1,2.37,0
-13.399999999999999,-61.500000000000114,66.3,276.4,1.6,19.35,2.12,0,9.3,2.71,0
-13.399999999999999,-61.45000000000012,61.9,209.8,2.9,9.03,9.84,1,5.2,0.29,1
-13.399999999999999,-61.40000000000012,97.5,281.5,4.0,5.43,2.48,0,1.5,2.55,0
-13.399999999999999,-61.35000000000012,58.8,190.8,5.8,3.04,0.11,0,7.3,4.4,1
-13.399999999999999,-61.300000000000125,53.0,233.8,1.5,4.67,1.57,1,6.1,3.71,0
-13.399999999999999,-61.25000000000013,74.4,332.1,0.5,41.85,15.15,1,13.0,3.03,0
-13.399999999999999,-61.20000000000013,95.2,180.3,2.7,14.52,9.9,0,24.5,0.96,0
-13.399999999999999,-61.150000000000134,91.5,138.7,2.3,10.96,4.62,0,12.7,2.7,0
-13.399999999999999,-61.100000000000136,48.3,237.6,1.4,12.64,48.03,0,1.8,2.6,0
-13.399999999999999,-61.05000000000014,69.9,259.2,0.4,1.18,1.34,0,0.4,3.03,1
-13.399999999999999,-61.00000000000014,35.0,208.8,3.1,29.02,49.35,0,14.2,1.31,0
-13.399999999999999,-60.950000000000145,52.8,280.3,0.6,8.28,50.56,0,4.6,2.2,0
-13.399999999999999,-60.90000000000015,73.8,183.9,0.1,24.33,12.17,1,2.2,0.0,0
-13.399999999999999,-60.85000000000015,75.4,210.2,1.9,7.14,0.87,0,11.1,2.17,0
-13.399999999999999,-60.80000000000015,32.4,230.0,2.7,9.68,51.84,0,0.9,1.14,0
-13.399999999999999,-60.750000000000156,75.7,223.0,8.7,9.77,46.52,0,0.4,1.52,0
-13.399999999999999,-60.70000000000016,60.6,329.1,0.5,0.39,6.2,0,37.2,6.68,0
-13.399999999999999,-60.65000000000016,46.6,229.6,4.0,6.07,5.46,0,11.7,1.94,0
-13.399999999999999,-60.600000000000165,73.1,175.7,1.0,1.19,11.34,0,7.5,4.73,0
-13.399999999999999,-60.55000000000017,75.5,242.2,8.4,53.8,0.99,0,0.6,2.16,0
-13.399999999999999,-60.50000000000017,95.7,280.7,5.3,8.79,3.45,0,23.2,9.9,1
-13.399999999999999,-60.45000000000017,68.0,261.9,0.2,21.47,60.08,0,6.7,1.51,0
-13.399999999999999,-60.400000000000176,58.8,257.5,0.7,18.6,11.64,1,6.2,0.0,0
-13.399999999999999,-60.35000000000018,84.3,80.2,0.1,10.7,18.61,0,3.5,6.05,0
-13.399999999999999,-60.30000000000018,73.9,50.0,1.8,23.81,11.65,0,19.3,2.22,0
-13.399999999999999,-60.250000000000185,84.2,302.0,1.9,25.96,1.66,0,1.8,1.03,0
-13.399999999999999,-60.20000000000019,65.3,235.1,2.9,15.07,12.37,0,0.7,1.27,0
-13.399999999999999,-60.15000000000019,86.6,198.3,0.0,2.24,1.8,0,1.7,6.46,0
-13.399999999999999,-60.10000000000019,49.7,255.5,7.1,7.77,22.7,1,8.5,4.99,0
-13.399999999999999,-60.050000000000196,77.8,354.2,3.5,5.08,83.71,0,3.8,3.21,0
-13.349999999999998,-63.5,75.1,313.1,3.9,49.73,8.02,0,10.2,0.13,0
-13.349999999999998,-63.45,42.8,277.0,1.7,2.15,3.42,0,16.1,5.15,0
-13.349999999999998,-63.400000000000006,66.4,129.1,4.7,15.42,18.17,1,12.2,0.77,0
-13.349999999999998,-63.35000000000001,33.0,139.5,2.5,25.37,49.78,0,18.2,3.57,0
-13.349999999999998,-63.30000000000001,72.7,50.0,4.8,5.47,8.69,0,10.8,2.01,0
-13.349999999999998,-63.250000000000014,77.1,250.7,7.2,0.52,48.37,0,16.1,5.87,0
-13.349999999999998,-63.20000000000002,88.7,288.7,5.7,5.4,1.01,1,32.5,0.42,0
-13.349999999999998,-63.15000000000002,83.1,295.2,1.6,8.17,102.7,0,7.4,1.68,0
-13.349999999999998,-63.10000000000002,69.5,254.0,0.0,3.52,12.19,1,32.4,1.59,0
-13.349999999999998,-63.050000000000026,65.5,187.7,0.3,8.64,22.06,1,12.3,0.91,0
-13.349999999999998,-63.00000000000003,50.1,154.9,2.5,17.02,30.03,0,0.8,3.73,0
-13.349999999999998,-62.95000000000003,69.2,134.0,11.0,24.28,8.3,0,2.6,0.44,0
-13.349999999999998,-62.900000000000034,81.2,186.9,1.7,0.76,17.32,1,13.5,2.26,1
-13.349999999999998,-62.85000000000004,90.7,121.8,0.1,16.56,27.23,0,21.8,1.01,0
-13.349999999999998,-62.80000000000004,74.8,340.5,3.2,10.57,16.6,0,5.3,1.88,0
-13.349999999999998,-62.75000000000004,58.6,95.8,1.5,13.32,23.32,0,22.5,3.09,0
-13.349999999999998,-62.700000000000045,78.9,184.2,4.1,6.72,10.33,0,10.9,3.03,0
-13.349999999999998,-62.65000000000005,71.2,50.0,0.2,49.83,15.82,0,22.0,4.43,0
-13.349999999999998,-62.60000000000005,84.7,223.7,0.4,1.12,5.94,1,10.7,2.27,0
-13.349999999999998,-62.550000000000054,64.5,199.8,8.3,4.01,3.49,0,1.2,4.5,0
-13.349999999999998,-62.50000000000006,67.4,171.5,0.5,6.0,64.29,0,4.6,3.86,0
-13.349999999999998,-62.45000000000006,68.7,125.4,0.6,11.87,39.93,0,2.6,2.44,0
-13.349999999999998,-62.40000000000006,74.8,200.2,1.3,48.16,65.75,0,9.9,0.69,0
-13.349999999999998,-62.350000000000065,71.4,156.4,3.7,3.55,1.37,0,19.3,4.52,1
-13.349999999999998,-62.30000000000007,78.5,189.1,1.1,9.26,79.76,0,1.3,1.33,0
-13.349999999999998,-62.25000000000007,44.8,356.6,4.3,19.91,11.2,1,16.9,0.0,0
-13.349999999999998,-62.200000000000074,68.3,213.8,2.6,1.3,76.08,1,19.7,2.45,0
-13.349999999999998,-62.15000000000008,71.3,242.6,2.8,11.05,6.35,1,6.0,2.05,1
-13.349999999999998,-62.10000000000008,95.1,162.8,0.7,27.2,0.52,0,2.1,0.44,0
-13.349999999999998,-62.05000000000008,86.4,137.2,5.3,25.08,17.01,0,0.8,2.61,0
-13.349999999999998,-62.000000000000085,69.0,198.2,0.4,8.4,42.72,0,2.8,2.5,0
-13.349999999999998,-61.95000000000009,93.1,400.3,0.0,28.18,18.53,1,1.2,2.39,0
-13.349999999999998,-61.90000000000009,77.2,177.0,1.6,2.61,3.76,1,3.9,0.89,0
-13.349999999999998,-61.850000000000094,84.0,228.9,1.4,0.22,5.32,1,6.8,1.47,0
-13.349999999999998,-61.8000000000001,88.4,133.7,3.1,7.17,3.72,0,8.6,2.0,0
-13.349999999999998,-61.7500000000001,94.6,50.0,0.2,1.43,37.59,0,18.4,4.02,0
-13.349999999999998,-61.7000000000001,74.3,136.8,0.2,8.58,17.83,0,18.6,1.29,0
-13.349999999999998,-61.650000000000105,92.8,390.5,3.4,5.1,0.55,0,14.5,3.73,0
-13.349999999999998,-61.60000000000011,56.9,247.6,0.8,49.71,9.19,1,8.0,0.0,0
-13.349999999999998,-61.55000000000011,86.4,331.3,7.2,2.56,24.96,1,1.6,1.54,0
-13.349999999999998,-61.500000000000114,78.0,172.2,2.1,7.52,10.89,1,1.5,2.27,0
-13.349999999999998,-61.45000000000012,79.3,50.0,0.4,16.89,24.64,1,5.6,0.0,0
-13.349999999999998,-61.40000000000012,63.5,111.3,3.0,6.41,18.8,0,10.8,2.37,0
-13.349999999999998,-61.35000000000012,92.5,231.8,1.5,34.01,7.76,1,3.3,0.84,0
-13.349999999999998,-61.300000000000125,85.0,219.0,7.8,35.63,4.59,0,15.2,0.3,1
-13.349999999999998,-61.25000000000013,79.0,199.2,1.2,8.82,25.89,0,12.1,1.26,0
-13.349999999999998,-61.20000000000013,70.7,157.6,1.3,2.33,27.03,0,6.8,2.85,0
-13.349999999999998,-61.150000000000134,45.1,275.2,2.0,37.11,95.09,0,1.7,0.73,0
-13.349999999999998,-61.100000000000136,87.5,159.9,2.0,8.1,7.37,0,2.9,6.34,0
-13.349999999999998,-61.05000000000014,52.4,224.6,0.3,15.25,83.66,1,1.4,1.21,0
-13.349999999999998,-61.00000000000014,90.3,215.6,4.1,3.96,8.99,1,13.2,3.03,0
-13.349999999999998,-60.950000000000145,88.0,170.5,4.8,44.03,20.08,1,39.2,0.0,0
-13.349999999999998,-60.90000000000015,83.5,129.5,0.5,12.33,0.37,0,4.6,2.4,0
-13.349999999999998,-60.85000000000015,57.6,165.8,6.0,97.3,64.85,0,0.2,0.49,0
-13.349999999999998,-60.80000000000015,55.0,349.9,0.8,1.8,1.5,0,15.8,2.9,1
-13.349999999999998,-60.750000000000156,76.9,289.0,6.4,6.37,3.66,1,0.4,1.07,0
-13.349999999999998,-60.70000000000016,79.5,281.6,1.4,25.67,21.03,0,5.8,0.89,0
-13.349999999999998,-60.65000000000016,38.6,137.1,3.6,1.58,21.4,0,0.7,4.22,1
-13.349999999999998,-60.600000000000165,75.4,85.0,5.0,0.35,38.12,1,23.6,2.1,0
-13.349999999999998,-60.55000000000017,42.4,287.7,0.4,15.24,13.8,0,3.9,0.77,0
-13.349999999999998,-60.50000000000017,63.7,272.4,0.2,1.45,15.45,1,5.5,2.87,0
-13.349999999999998,-60.45000000000017,75.8,211.0,0.7,24.3,111.08,1,18.6,0.0,0
-13.349999999999998,-60.400000000000176,45.8,170.4,3.5,37.28,13.18,1,9.0,0.0,0
-13.349999999999998,-60.35000000000018,54.5,82.9,2.4,11.07,21.84,1,0.3,3.07,1
-13.349999999999998,-60.30000000000018,68.2,269.4,1.2,1.88,48.22,1,0.1,3.19,0
-13.349999999999998,-60.250000000000185,60.2,294.9,0.4,9.52,47.91,0,0.4,1.81,0
-13.349999999999998,-60.20000000000019,71.6,145.7,7.8,15.22,14.96,0,8.5,3.26,0
-13.349999999999998,-60.15000000000019,88.4,139.0,6.2,46.55,18.2,0,2.3,1.12,0
-13.349999999999998,-60.10000000000019,83.4,299.3,0.6,2.22,9.53,0,14.0,2.42,0
-13.349999999999998,-60.050000000000196,70.2,148.7,4.6,0.1,11.59,0,11.1,3.87,0
-13.299999999999997,-63.5,85.1,342.3,0.3,2.76,64.76,0,34.5,4.04,0
-13.299999999999997,-63.45,77.2,191.3,3.4,7.83,18.35,0,9.6,2.58,0
-13.299999999999997,-63.400000000000006,72.7,169.1,2.8,0.74,35.12,1,20.2,1.7,0
-13.299999999999997,-63.35000000000001,51.7,203.6,20.6,4.9,1.27,0,29.1,6.03,1
-13.299999999999997,-63.30000000000001,67.9,169.1,2.7,5.7,3.78,0,8.8,3.19,0
-13.299999999999997,-63.250000000000014,74.0,290.1,0.1,1.88,5.98,0,19.5,8.81,1
-13.299999999999997,-63.20000000000002,53.8,270.9,5.1,7.6,12.48,0,19.7,2.12,0
-13.299999999999997,-63.15000000000002,83.8,287.0,1.8,4.93,2.14,0,2.1,8.34,0
