lat,lon,tree_cover_2000_pct,elevation_m,slope_deg,dist_to_road_km,dist_to_deforestation_frontier_km,protected_area,population_density_per_km2,annual_loss_rate_pct,exg_change_2018_2019,high_risk,loss_year
7.539999999999999,124.57999999999998,53.4,0.0,0.0,1.83,4.41,0,41.6,0.16,0.6241,0,0
7.539999999999999,124.59999999999998,82.1,0.0,0.0,1.08,2.2,0,44.9,0.16,0.9526,0,0
7.539999999999999,124.61999999999998,70.0,0.0,0.0,2.51,0.0,0,38.9,0.65,0.2009,1,18
7.539999999999999,124.77999999999994,90.5,0.0,0.0,1.77,17.64,0,41.9,0.16,0.472,0,0
7.539999999999999,124.81999999999994,87.7,0.0,0.0,1.34,17.64,0,43.7,0.16,0.5578,0,0
7.539999999999999,124.91999999999992,91.7,0.0,0.0,1.54,6.61,0,42.9,0.16,0.0487,0,0
7.539999999999999,124.95999999999992,92.4,0.0,0.0,0.6,2.2,0,47.1,0.16,0.1257,0,0
7.539999999999999,124.9799999999999,67.3,0.0,0.0,1.17,0.0,0,44.5,0.65,0.4484,0,10
7.539999999999999,125.0199999999999,70.0,0.0,0.0,0.89,0.0,0,45.7,0.65,0.37,0,17
7.539999999999999,125.03999999999988,93.5,0.0,0.0,1.11,2.2,0,44.7,0.16,0.2798,0,0
7.539999999999999,125.07999999999988,75.8,0.0,0.0,0.44,6.61,0,47.8,0.16,0.4994,0,0
7.539999999999999,125.11999999999988,67.5,0.0,0.0,0.49,11.02,0,47.6,0.16,0.3046,0,0
7.539999999999999,125.13999999999989,75.6,0.0,0.0,2.19,13.23,0,40.2,0.16,-0.0329,0,0
7.539999999999999,125.17999999999986,79.2,0.0,0.0,0.79,11.25,0,46.2,0.16,0.0663,0,0
7.539999999999999,125.23999999999984,62.3,0.0,0.0,0.54,4.94,0,47.4,0.16,-0.0052,0,0
7.539999999999999,125.25999999999983,86.1,0.0,0.0,0.63,3.13,0,46.9,0.16,0.231,0,0
7.539999999999999,125.27999999999984,62.2,0.0,0.0,1.57,2.22,0,42.7,0.16,0.114,0,0
7.539999999999999,125.33999999999985,51.1,0.0,0.0,2.66,2.22,0,38.3,0.16,0.1438,0,0
7.539999999999999,125.35999999999984,83.8,0.0,0.0,4.87,3.13,0,30.7,0.16,0.2932,0,0
7.539999999999999,125.37999999999982,74.3,0.0,0.0,5.16,4.94,0,29.8,0.16,0.3598,0,0
7.539999999999999,125.39999999999982,80.6,0.0,0.0,3.55,3.13,0,35.1,0.16,0.3109,0,0
7.539999999999999,125.41999999999982,46.4,0.0,0.0,2.89,2.2,0,37.5,0.16,0.6331,0,0
7.539999999999999,125.4399999999998,63.8,0.0,0.0,1.33,0.0,0,43.8,0.65,0.2567,0,13
7.539999999999999,125.4599999999998,64.0,0.0,0.0,0.87,2.2,0,45.8,0.16,0.1179,0,0
7.559999999999999,124.5,83.3,0.0,0.0,2.75,13.41,0,38.0,0.16,0.3399,0,0
7.559999999999999,124.54,71.6,0.0,0.0,1.49,9.09,0,43.1,0.16,0.0977,0,0
7.559999999999999,124.56,53.4,0.0,0.0,3.54,6.98,0,35.1,0.16,0.3769,0,0
7.559999999999999,124.57999999999998,82.1,0.0,0.0,1.51,4.94,0,43.0,0.16,0.4711,0,0
7.559999999999999,124.59999999999998,79.0,0.0,0.0,1.32,3.13,0,43.8,0.16,0.6925,0,0
7.559999999999999,124.61999999999998,72.4,0.0,0.0,2.8,2.22,0,37.8,0.16,0.9357,0,0
7.559999999999999,124.63999999999996,54.3,0.0,0.0,2.14,3.13,0,40.4,0.16,0.4483,0,0
7.559999999999999,124.67999999999996,55.5,0.0,0.0,1.17,6.98,0,44.5,0.16,0.3386,0,0
7.559999999999999,124.75999999999996,90.5,0.0,0.0,1.59,15.59,0,42.6,0.16,0.3693,0,0
7.559999999999999,124.89999999999992,91.7,0.0,0.0,0.63,9.09,0,46.9,0.16,0.2958,0,0
7.559999999999999,124.91999999999992,93.7,0.0,0.0,2.05,6.98,0,40.7,0.16,0.2775,0,0
7.559999999999999,124.93999999999993,92.4,0.0,0.0,2.27,4.94,0,39.8,0.16,0.5115,0,0
7.559999999999999,124.95999999999992,67.3,0.0,0.0,1.39,3.13,0,43.5,0.16,0.3763,0,0
7.559999999999999,124.9799999999999,71.0,0.0,0.0,0.29,2.22,0,48.6,0.16,-0.007,0,0
7.559999999999999,125.03999999999988,57.0,0.0,0.0,0.89,3.13,0,45.7,0.16,0.1293,0,0
7.559999999999999,125.07999999999988,72.4,0.0,0.0,0.54,6.98,0,47.4,0.16,0.4355,0,0
7.559999999999999,125.11999999999988,75.6,0.0,0.0,1.46,11.06,0,43.2,0.16,0.5,0,0
7.559999999999999,125.13999999999989,90.6,0.0,0.0,0.45,12.88,0,47.8,0.16,0.9003,0,0
7.559999999999999,125.15999999999988,79.2,0.0,0.0,1.25,13.96,0,44.1,0.16,-0.0007,0,0
7.559999999999999,125.17999999999986,66.8,0.0,0.0,2.98,11.89,0,37.1,0.16,0.2887,0,0
7.559999999999999,125.21999999999986,62.3,0.0,0.0,0.29,7.97,0,48.6,0.16,0.0777,0,0
7.559999999999999,125.23999999999984,86.1,0.0,0.0,1.68,6.26,0,42.3,0.16,0.3291,0,0
7.559999999999999,125.25999999999983,62.2,0.0,0.0,0.97,4.96,0,45.4,0.16,0.2667,0,0
7.559999999999999,125.27999999999984,72.9,0.0,0.0,0.48,4.41,0,47.7,0.16,0.3229,0,0
7.559999999999999,125.29999999999984,77.7,0.0,0.0,1.27,2.2,0,44.0,0.16,0.1968,0,0
7.559999999999999,125.31999999999984,51.1,0.0,0.0,1.72,0.0,0,42.1,0.65,0.0538,0,15
7.559999999999999,125.35999999999984,74.3,0.0,0.0,2.97,4.41,0,37.2,0.16,0.1334,0,0
7.559999999999999,125.37999999999982,80.6,0.0,0.0,4.33,4.41,0,32.4,0.16,0.3743,0,0
7.559999999999999,125.39999999999982,46.4,0.0,0.0,2.18,2.2,0,40.2,0.16,0.0312,0,0
7.559999999999999,125.41999999999982,63.8,0.0,0.0,0.67,0.0,0,46.8,0.65,0.9605,0,17
7.559999999999999,125.4599999999998,86.4,0.0,0.0,0.36,3.13,0,48.2,0.16,0.379,0,0
7.579999999999998,124.5,70.2,0.0,0.0,3.55,13.96,0,35.1,0.16,0.273,0,0
7.579999999999998,124.57999999999998,79.0,0.0,0.0,1.82,6.26,0,41.7,0.16,0.4355,0,0
7.579999999999998,124.59999999999998,72.4,0.0,0.0,1.66,4.96,0,42.4,0.16,0.185,0,0
7.579999999999998,124.65999999999995,55.5,0.0,0.0,1.53,6.26,0,42.9,0.16,0.4509,0,0
7.579999999999998,124.71999999999996,58.4,0.0,0.0,1.05,11.08,0,45.0,0.16,0.11,0,0
7.579999999999998,124.75999999999996,91.0,0.0,0.0,0.49,14.16,0,47.6,0.16,0.3,0,0
7.579999999999998,124.87999999999992,91.7,0.0,0.0,1.55,11.89,0,42.8,0.16,0.78,0,0
7.579999999999998,124.95999999999992,71.0,0.0,0.0,0.57,4.96,0,47.2,0.16,0.5053,0,0
7.579999999999998,124.9999999999999,93.5,0.0,0.0,0.51,4.45,0,47.5,0.16,0.6517,0,0
7.579999999999998,125.05999999999987,72.4,0.0,0.0,1.31,4.96,0,43.9,0.16,0.07,0,0
7.579999999999998,125.07999999999988,67.5,0.0,0.0,1.4,6.26,0,43.5,0.16,0.2154,0,0
7.579999999999998,125.09999999999988,75.6,0.0,0.0,0.5,7.97,0,47.6,0.16,0.1862,0,0
7.579999999999998,125.17999999999986,74.6,0.0,0.0,2.13,12.88,0,40.4,0.16,0.2126,0,0
7.579999999999998,125.21999999999986,86.1,0.0,0.0,1.25,9.39,0,44.1,0.16,0.088,0,0
7.579999999999998,125.23999999999984,62.2,0.0,0.0,2.76,8.0,0,37.9,0.16,0.2182,0,0
7.579999999999998,125.25999999999983,72.9,0.0,0.0,3.08,6.98,0,36.7,0.16,0.2533,0,0
7.579999999999998,125.29999999999984,51.1,0.0,0.0,2.17,3.13,0,40.2,0.16,0.3628,0,0
7.579999999999998,125.31999999999984,83.8,0.0,0.0,2.47,2.22,0,39.1,0.16,0.146,0,0
7.579999999999998,125.35999999999984,80.6,0.0,0.0,1.94,4.94,0,41.2,0.16,0.411,0,0
7.579999999999998,125.37999999999982,46.4,0.0,0.0,3.45,4.94,0,35.4,0.16,0.2984,0,0
7.579999999999998,125.39999999999982,63.8,0.0,0.0,2.09,3.13,0,40.6,0.16,0.4105,0,0
7.599999999999998,124.5,71.6,0.0,0.0,4.34,14.81,0,32.4,0.16,0.3266,0,0
7.599999999999998,124.54,86.8,0.0,0.0,0.48,11.06,0,47.7,0.16,0.1795,0,0
7.599999999999998,124.56,79.0,0.0,0.0,2.35,9.39,0,39.5,0.16,0.4215,0,0
7.599999999999998,124.57999999999998,72.4,0.0,0.0,3.77,8.0,0,34.3,0.16,0.5087,0,0
7.599999999999998,124.59999999999998,54.3,0.0,0.0,3.7,7.03,0,34.5,0.16,0.3512,0,0
7.599999999999998,124.83999999999992,61.8,0.0,0.0,0.86,16.81,0,45.9,0.16,0.0257,0,0
7.599999999999998,124.91999999999992,67.3,0.0,0.0,0.18,9.09,0,49.1,0.16,0.0996,0,0
7.599999999999998,124.95999999999992,90.9,0.0,0.0,0.95,4.94,0,45.5,0.16,0.1126,0,0
7.599999999999998,124.9799999999999,93.5,0.0,0.0,0.58,3.13,0,47.2,0.16,0.2196,0,0
7.599999999999998,125.0199999999999,75.8,0.0,0.0,1.12,3.13,0,44.7,0.16,0.2104,0,0
7.599999999999998,125.05999999999987,67.5,0.0,0.0,0.29,3.13,0,48.6,0.16,0.3157,0,0
7.599999999999998,125.07999999999988,75.6,0.0,0.0,0.89,4.94,0,45.7,0.16,0.2301,0,0
7.599999999999998,125.11999999999988,79.2,0.0,0.0,0.61,9.09,0,47.0,0.16,0.0119,0,0
7.599999999999998,125.13999999999989,66.8,0.0,0.0,0.36,11.24,0,48.2,0.16,0.0644,0,0
7.599999999999998,125.21999999999986,62.2,0.0,0.0,1.03,9.39,0,45.1,0.16,0.3324,0,0
7.599999999999998,125.23999999999984,72.9,0.0,0.0,3.05,8.0,0,36.9,0.16,0.184,0,0
7.599999999999998,125.27999999999984,51.1,0.0,0.0,4.05,6.26,0,33.3,0.16,0.0286,0,0
7.599999999999998,125.29999999999984,83.8,0.0,0.0,4.16,4.96,0,33.0,0.16,0.2476,0,0
7.599999999999998,125.35999999999984,46.4,0.0,0.0,0.45,6.26,0,47.8,0.16,0.2768,0,0
7.599999999999998,125.37999999999982,63.8,0.0,0.0,2.23,6.26,0,40.0,0.16,0.4325,0,0
7.599999999999998,125.39999999999982,64.0,0.0,0.0,2.14,4.96,0,40.4,0.16,0.4078,0,0
7.619999999999997,124.5,89.9,0.0,0.0,5.09,15.94,0,30.1,0.16,0.2525,0,0
7.619999999999997,124.52,86.8,0.0,0.0,3.42,14.16,0,35.5,0.16,0.2915,0,0
7.619999999999997,124.54,60.4,0.0,0.0,2.7,12.53,0,38.2,0.16,0.3009,0,0
7.619999999999997,124.56,72.4,0.0,0.0,3.54,11.08,0,35.1,0.16,0.2269,0,0
7.619999999999997,124.57999999999998,54.3,0.0,0.0,5.25,9.88,0,29.6,0.16,0.2246,0,0
7.619999999999997,124.59999999999998,75.6,0.0,0.0,5.87,7.97,0,27.8,0.16,0.2054,0,0
7.619999999999997,124.75999999999996,58.9,0.0,0.0,0.53,11.88,0,47.4,0.16,0.5752,0,0
7.619999999999997,124.77999999999994,60.5,0.0,0.0,2.16,13.95,0,40.3,0.16,0.3171,0,0
7.619999999999997,124.95999999999992,93.5,0.0,0.0,1.29,4.41,0,43.9,0.16,0.1182,0,0
7.619999999999997,124.9999999999999,70.0,0.0,0.0,0.26,0.0,0,48.7,0.65,0.208,1,18
7.619999999999997,125.03999999999988,67.5,0.0,0.0,0.42,0.0,0,47.9,0.65,0.2083,0,11
7.619999999999997,125.05999999999987,75.6,0.0,0.0,0.43,2.2,0,47.9,0.16,0.2191,0,0
7.619999999999997,125.19999999999986,62.2,0.0,0.0,1.78,9.88,0,41.8,0.16,0.2657,0,0
7.619999999999997,125.23999999999984,77.7,0.0,0.0,2.19,6.26,0,40.2,0.16,0.422,0,0
7.619999999999997,125.25999999999983,51.1,0.0,0.0,4.37,4.96,0,32.3,0.16,0.1326,0,0
7.619999999999997,125.27999999999984,83.8,0.0,0.0,6.24,4.45,0,26.8,0.16,0.7055,0,0
7.619999999999997,125.29999999999984,74.3,0.0,0.0,6.28,4.96,0,26.7,0.16,0.3558,0,0
7.619999999999997,125.33999999999985,46.4,0.0,0.0,2.58,7.03,0,38.6,0.16,0.4753,0,0
7.619999999999997,125.35999999999984,63.8,0.0,0.0,1.0,8.0,0,45.2,0.16,0.3769,0,0
7.619999999999997,125.37999999999982,64.0,0.0,0.0,1.14,7.03,0,44.6,0.16,0.2,0,0
7.619999999999997,125.39999999999982,86.4,0.0,0.0,2.23,6.67,0,40.0,0.16,0.1141,0,0
7.619999999999997,125.41999999999982,60.5,0.0,0.0,0.8,6.67,0,46.2,0.16,0.0532,0,0
7.639999999999997,124.5,86.8,0.0,0.0,6.54,17.28,0,26.0,0.16,0.3013,0,0
7.639999999999997,124.52,60.4,0.0,0.0,5.35,15.59,0,29.3,0.16,0.2961,0,0
7.639999999999997,124.54,47.8,0.0,0.0,4.92,13.41,0,30.6,0.16,0.2525,0,0
7.639999999999997,124.56,54.3,0.0,0.0,5.43,11.24,0,29.1,0.16,0.2554,0,0
7.639999999999997,124.57999999999998,75.6,0.0,0.0,6.67,9.09,0,25.7,0.16,0.2679,0,0
7.639999999999997,124.59999999999998,55.5,0.0,0.0,7.09,6.98,0,24.6,0.16,0.473,0,0
7.639999999999997,124.61999999999998,51.4,0.0,0.0,5.83,4.94,0,27.9,0.16,0.4357,0,0
7.639999999999997,124.63999999999996,71.4,0.0,0.0,4.81,3.13,0,30.9,0.16,0.4744,0,0
7.639999999999997,124.65999999999995,58.4,0.0,0.0,2.97,2.22,0,37.2,0.16,0.5666,0,0
7.639999999999997,124.67999999999996,90.5,0.0,0.0,2.06,3.13,0,40.7,0.16,0.5186,0,0
7.639999999999997,124.79999999999994,61.8,0.0,0.0,1.64,15.59,0,42.4,0.16,0.9433,0,0
7.639999999999997,124.85999999999991,92.4,0.0,0.0,0.25,15.59,0,48.8,0.16,0.9202,0,0
7.639999999999997,124.93999999999993,93.5,0.0,0.0,1.18,6.98,0,44.4,0.16,0.5336,0,0
7.639999999999997,124.95999999999992,57.0,0.0,0.0,1.37,4.94,0,43.6,0.16,0.4037,0,0
7.639999999999997,125.03999999999988,70.0,0.0,0.0,0.28,0.0,0,48.6,0.65,0.351,1,20
7.639999999999997,125.07999999999988,79.2,0.0,0.0,0.15,4.41,0,49.3,0.16,0.0843,0,0
7.639999999999997,125.11999999999988,74.6,0.0,0.0,0.53,8.82,0,47.4,0.16,0.1756,0,0
7.639999999999997,125.17999999999986,62.2,0.0,0.0,1.83,11.24,0,41.6,0.16,0.4776,0,0
7.639999999999997,125.21999999999986,77.7,0.0,0.0,1.83,6.98,0,41.6,0.16,0.0673,0,0
7.639999999999997,125.23999999999984,51.1,0.0,0.0,2.82,4.94,0,37.7,0.16,-0.0322,0,0
7.639999999999997,125.25999999999983,83.8,0.0,0.0,4.72,3.13,0,31.2,0.16,0.3682,0,0
7.639999999999997,125.27999999999984,74.3,0.0,0.0,5.88,2.22,0,27.8,0.16,0.2482,0,0
7.639999999999997,125.29999999999984,80.6,0.0,0.0,4.92,3.13,0,30.6,0.16,0.1375,0,0
7.639999999999997,125.31999999999984,46.4,0.0,0.0,4.01,4.94,0,33.5,0.16,0.413,0,0
7.639999999999997,125.33999999999985,63.8,0.0,0.0,3.7,6.98,0,34.5,0.16,0.3189,0,0
7.639999999999997,125.35999999999984,64.0,0.0,0.0,1.73,6.26,0,42.1,0.16,0.3108,0,0
7.639999999999997,125.4399999999998,52.9,0.0,0.0,1.17,4.45,0,44.5,0.16,0.1651,0,0
7.639999999999997,125.4599999999998,81.6,0.0,0.0,0.41,4.96,0,48.0,0.16,0.1406,0,0
7.659999999999997,124.5,60.4,0.0,0.0,8.34,15.65,0,21.7,0.16,0.2087,0,0
7.659999999999997,124.52,47.8,0.0,0.0,7.45,14.19,0,23.7,0.16,0.2104,0,0
7.659999999999997,124.54,75.8,0.0,0.0,7.15,12.94,0,24.5,0.16,0.2745,0,0
7.659999999999997,124.56,75.6,0.0,0.0,7.51,11.02,0,23.6,0.16,0.3566,0,0
7.659999999999997,124.57999999999998,55.5,0.0,0.0,7.62,8.82,0,23.3,0.16,0.3755,0,0
7.659999999999997,124.59999999999998,51.4,0.0,0.0,5.66,6.61,0,28.4,0.16,0.3552,0,0
7.659999999999997,124.61999999999998,71.4,0.0,0.0,3.96,4.41,0,33.7,0.16,0.417,0,0
7.659999999999997,124.63999999999996,58.4,0.0,0.0,2.93,2.2,0,37.3,0.16,0.4538,0,0
7.659999999999997,124.65999999999995,70.0,0.0,0.0,1.86,0.0,0,41.5,0.65,0.2656,0,1
7.659999999999997,124.69999999999996,87.7,0.0,0.0,0.47,4.41,0,47.7,0.16,0.2667,0,0
7.659999999999997,124.71999999999996,58.9,0.0,0.0,0.73,6.61,0,46.5,0.16,0.3603,0,0
7.659999999999997,124.95999999999992,75.8,0.0,0.0,0.44,6.26,0,47.8,0.16,0.257,0,0
7.659999999999997,125.03999999999988,90.6,0.0,0.0,0.7,2.22,0,46.6,0.16,0.2378,0,0
7.659999999999997,125.05999999999987,79.2,0.0,0.0,0.69,3.13,0,46.7,0.16,-0.1075,0,0
7.659999999999997,125.07999999999988,66.8,0.0,0.0,0.13,4.94,0,49.4,0.16,0.2839,0,0
7.659999999999997,125.15999999999988,62.2,0.0,0.0,1.57,12.88,0,42.7,0.16,0.2079,0,0
7.659999999999997,125.19999999999986,77.7,0.0,0.0,0.5,8.82,0,47.6,0.16,0.5801,0,0
7.659999999999997,125.23999999999984,83.8,0.0,0.0,2.82,4.41,0,37.7,0.16,0.2148,0,0
7.659999999999997,125.27999999999984,70.0,0.0,0.0,3.68,0.0,0,34.6,0.65,0.4376,0,14
7.659999999999997,125.29999999999984,46.4,0.0,0.0,3.35,2.2,0,35.8,0.16,0.2363,0,0
7.659999999999997,125.31999999999984,63.8,0.0,0.0,1.91,4.41,0,41.3,0.16,0.2065,0,0
7.659999999999997,125.33999999999985,64.0,0.0,0.0,1.65,6.61,0,42.4,0.16,0.6864,0,0
7.659999999999997,125.35999999999984,86.4,0.0,0.0,1.99,4.94,0,41.0,0.16,0.1656,0,0
7.659999999999997,125.41999999999982,52.9,0.0,0.0,2.01,3.13,0,40.9,0.16,0.1528,0,0
7.659999999999997,125.4599999999998,72.2,0.0,0.0,1.76,3.13,0,41.9,0.16,0.3704,0,0
7.679999999999996,124.5,47.8,0.0,0.0,10.31,14.16,0,17.8,0.16,0.4132,0,0
7.679999999999996,124.52,75.8,0.0,0.0,9.6,12.52,0,19.1,0.16,0.3333,0,0
7.679999999999996,124.54,85.9,0.0,0.0,9.37,11.08,0,19.6,0.16,0.2663,0,0
7.679999999999996,124.56,55.5,0.0,0.0,9.24,9.93,0,19.8,0.16,0.251,0,0
7.679999999999996,124.57999999999998,51.4,0.0,0.0,7.05,9.09,0,24.7,0.16,0.2027,0,0
7.679999999999996,124.59999999999998,71.4,0.0,0.0,4.87,6.98,0,30.7,0.16,0.2215,0,0
7.679999999999996,124.61999999999998,58.4,0.0,0.0,2.71,4.94,0,38.1,0.16,0.3505,0,0
7.679999999999996,124.63999999999996,90.5,0.0,0.0,0.86,3.13,0,45.9,0.16,0.4048,0,0
7.679999999999996,124.65999999999995,91.0,0.0,0.0,0.44,2.22,0,47.8,0.16,0.4199,0,0
7.679999999999996,124.67999999999996,87.7,0.0,0.0,1.23,3.13,0,44.2,0.16,0.0585,0,0
7.679999999999996,124.9799999999999,67.5,0.0,0.0,0.27,7.03,0,48.7,0.16,0.2771,0,0
7.679999999999996,124.9999999999999,75.6,0.0,0.0,0.44,6.26,0,47.8,0.16,0.3706,0,0
7.679999999999996,125.05999999999987,66.8,0.0,0.0,0.1,4.96,0,49.5,0.16,0.2881,0,0
7.679999999999996,125.07999999999988,74.6,0.0,0.0,1.02,6.26,0,45.2,0.16,0.2387,0,0
7.679999999999996,125.13999999999989,62.2,0.0,0.0,0.21,11.88,0,49.0,0.16,0.1204,0,0
7.679999999999996,125.15999999999988,72.9,0.0,0.0,0.39,11.88,0,48.1,0.16,0.1953,0,0
7.679999999999996,125.19999999999986,51.1,0.0,0.0,0.51,7.97,0,47.5,0.16,0.2546,0,0
7.679999999999996,125.25999999999983,80.6,0.0,0.0,2.18,3.13,0,40.2,0.16,0.6421,0,0
7.679999999999996,125.27999999999984,46.4,0.0,0.0,1.54,2.22,0,42.9,0.16,0.4882,0,0
7.679999999999996,125.29999999999984,63.8,0.0,0.0,2.07,3.13,0,40.7,0.16,0.1505,0,0
7.679999999999996,125.31999999999984,64.0,0.0,0.0,0.74,4.94,0,46.4,0.16,0.0477,0,0
7.679999999999996,125.33999999999985,86.4,0.0,0.0,0.38,6.61,0,48.1,0.16,-0.1499,0,0
7.679999999999996,125.39999999999982,52.9,0.0,0.0,1.32,0.0,0,43.8,0.65,0.3016,0,12
7.679999999999996,125.4399999999998,70.0,0.0,0.0,0.94,0.0,0,45.5,0.65,0.1759,1,18
7.679999999999996,125.4599999999998,56.6,0.0,0.0,2.99,2.2,0,37.1,0.16,0.3857,0,0
7.679999999999996,125.4799999999998,52.6,0.0,0.0,4.83,4.41,0,30.8,0.16,0.4824,0,0
7.699999999999996,124.5,75.8,0.0,0.0,12.37,12.88,0,14.5,0.16,0.1925,0,0
7.699999999999996,124.52,85.9,0.0,0.0,11.78,11.05,0,15.4,0.16,0.1765,0,0
7.699999999999996,124.54,78.1,0.0,0.0,11.51,9.39,0,15.8,0.16,0.1538,0,0
7.699999999999996,124.56,51.4,0.0,0.0,9.33,8.0,0,19.7,0.16,0.2107,0,0
7.699999999999996,124.57999999999998,71.4,0.0,0.0,7.16,7.03,0,24.4,0.16,0.1647,0,0
7.699999999999996,124.59999999999998,58.4,0.0,0.0,5.02,6.67,0,30.3,0.16,0.3654,0,0
7.699999999999996,124.61999999999998,90.5,0.0,0.0,2.98,6.26,0,37.1,0.16,0.2665,0,0
7.699999999999996,124.63999999999996,91.0,0.0,0.0,0.92,4.96,0,45.6,0.16,0.5402,0,0
7.699999999999996,124.71999999999996,84.6,0.0,0.0,0.42,7.97,0,47.9,0.16,0.9107,0,0
7.699999999999996,124.73999999999997,61.8,0.0,0.0,1.43,9.87,0,43.3,0.16,0.1728,0,0
7.699999999999996,125.03999999999988,66.8,0.0,0.0,1.26,6.67,0,44.1,0.16,0.3064,0,0
7.699999999999996,125.05999999999987,74.6,0.0,0.0,1.11,7.03,0,44.7,0.16,0.199,0,0
7.699999999999996,125.09999999999988,86.1,0.0,0.0,0.75,9.39,0,46.4,0.16,0.3619,0,0
7.699999999999996,125.11999999999988,62.2,0.0,0.0,0.36,11.06,0,48.2,0.16,0.1252,0,0
